OrderID,ShipmentID,CustomerID,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,OriginRegion,DestinationRegion,Distance_km,ShippingMode,CarrierType,ProductCategory,Priority,Weight_kg,Volume_m3,ShipmentStatus,ShippingCost_USD,Revenue_USD,Profit_USD,CustomerRating,InsuranceRequired,CustomsCleared
ORD-100000,SHP-500000,CUST-1102,5/3/2022,8/1/2022,7/30/2022,Africa,Africa,17510,Sea,Internal Fleet,Machinery,Medium,3484.66,14.86,Delivered,1943.45,2265.95,322.5,4,No,N/A
ORD-100001,SHP-500001,CUST-1435,7/22/2023,7/25/2023,7/23/2023,Europe,Europe,1341,Road,Internal Fleet,Perishables,High,190.78,3.67,Delivered,197.92,267.44,69.52,5,No,N/A
ORD-100002,SHP-500002,CUST-1860,8/21/2023,8/26/2023,,South America,South America,1138,Rail,3rd Party Logistics,Electronics,Low,31.88,0.57,Cancelled,30.79,41.75,10.96,1,No,N/A
ORD-100003,SHP-500003,CUST-1270,4/10/2023,4/12/2023,4/16/2023,South America,South America,401,Road,Internal Fleet,Perishables,High,487.46,1.91,Delayed,349.48,474.31,124.83,2,No,N/A
ORD-100004,SHP-500004,CUST-1106,3/19/2022,3/22/2022,3/21/2022,North America,North America,1351,Road,Internal Fleet,Perishables,High,292.54,1.12,Delivered,231.02,272,40.98,5,No,N/A
ORD-100005,SHP-500005,CUST-1071,8/27/2023,9/15/2023,9/14/2023,Africa,Asia,12831,Air,3rd Party Logistics,Machinery,Low,3670.54,26.68,Delivered,2743.62,3402.46,658.84,4,Yes,Yes
ORD-100006,SHP-500006,CUST-1700,11/29/2022,12/3/2022,12/4/2022,Asia,Asia,2027,Road,3rd Party Logistics,Pharmaceuticals,Critical,648.12,7.37,Delayed,556.63,702.12,145.49,3,No,N/A
ORD-100007,SHP-500007,CUST-1020,9/5/2022,9/9/2022,9/7/2022,Europe,Asia,1455,Air,3rd Party Logistics,Electronics,Low,65.82,1.02,Delivered,115.9,162.02,46.12,4,Yes,Yes
ORD-100008,SHP-500008,CUST-1614,9/6/2023,9/12/2023,9/11/2023,North America,North America,1807,Road,3rd Party Logistics,Furniture,Low,208.41,3.86,Delivered,169.9,245.37,75.47,5,No,N/A
ORD-100009,SHP-500009,CUST-1121,12/3/2022,12/14/2022,12/14/2022,Europe,Europe,3550,Rail,3rd Party Logistics,Furniture,Low,44.18,1.51,Delivered,65.62,83.63,18.01,5,Yes,N/A
ORD-100010,SHP-500010,CUST-1466,3/14/2022,3/17/2022,3/17/2022,Asia,Asia,1207,Road,Internal Fleet,Pharmaceuticals,Critical,327.2,1.98,Delivered,261.91,344.75,82.84,4,Yes,N/A
ORD-100011,SHP-500011,CUST-1214,6/10/2023,6/14/2023,6/14/2023,North America,South America,1257,Air,3rd Party Logistics,Furniture,Low,432.07,13.83,Delivered,417.21,480.71,63.5,4,No,Yes
ORD-100012,SHP-500012,CUST-1330,12/7/2023,3/11/2024,3/11/2024,Europe,Africa,18865,Sea,3rd Party Logistics,Electronics,High,35.4,0.36,Delivered,101.3,116.76,15.46,4,No,Yes
ORD-100013,SHP-500013,CUST-1458,8/22/2022,8/27/2022,8/25/2022,Asia,Asia,1550,Road,Internal Fleet,Clothing,Low,302.82,1.47,Delivered,189.33,221.96,32.63,5,Yes,N/A
ORD-100014,SHP-500014,CUST-1087,7/7/2022,7/11/2022,7/10/2022,Oceania,Oceania,1049,Road,Internal Fleet,Electronics,Low,26.4,0.21,Delivered,31.01,42.35,11.34,4,Yes,N/A
ORD-100015,SHP-500015,CUST-1372,10/4/2022,10/8/2022,10/6/2022,North America,North America,684,Road,3rd Party Logistics,Machinery,Medium,2773.19,22.03,Delivered,1617.14,1946.13,328.99,4,No,N/A
ORD-100016,SHP-500016,CUST-1099,2/23/2023,2/26/2023,2/25/2023,Asia,Asia,1446,Road,Internal Fleet,Perishables,High,630.73,3.28,Delivered,480.81,662.25,181.44,5,Yes,N/A
ORD-100017,SHP-500017,CUST-1871,6/26/2023,6/29/2023,6/29/2023,North America,North America,1372,Road,Internal Fleet,Perishables,High,345.21,6.54,Delivered,336.15,430.13,93.98,5,No,N/A
ORD-100018,SHP-500018,CUST-1663,2/27/2023,4/6/2023,4/5/2023,South America,Asia,7171,Sea,Internal Fleet,Machinery,Low,1403.16,6.33,Delivered,786.38,1104.86,318.48,4,No,Yes
ORD-100019,SHP-500019,CUST-1130,1/25/2022,4/2/2022,4/2/2022,South America,Europe,12818,Sea,Internal Fleet,Machinery,Medium,1399.61,5.12,Delivered,789.48,1114.03,324.55,4,Yes,Yes
ORD-100020,SHP-500020,CUST-1661,3/4/2023,3/14/2023,3/14/2023,Europe,North America,7202,Air,3rd Party Logistics,Perishables,High,715.2,2.71,Delivered,968.23,1369.03,400.8,4,Yes,Yes
ORD-100021,SHP-500021,CUST-1308,7/6/2022,9/28/2022,9/27/2022,Africa,Europe,16639,Sea,3rd Party Logistics,Pharmaceuticals,High,650.51,2.93,Delivered,525.78,690.38,164.6,5,Yes,Yes
ORD-100022,SHP-500022,CUST-1769,12/21/2022,12/27/2022,12/27/2022,Oceania,Oceania,2132,Road,Internal Fleet,Clothing,Low,612.36,2.07,Delivered,358.82,497.52,138.7,5,Yes,N/A
ORD-100023,SHP-500023,CUST-1343,5/14/2022,5/18/2022,5/16/2022,Africa,Africa,697,Road,3rd Party Logistics,Clothing,Medium,268.39,2.3,Delivered,167.68,226.13,58.45,4,No,N/A
ORD-100024,SHP-500024,CUST-1491,5/11/2022,5/15/2022,5/13/2022,Asia,Asia,1060,Road,3rd Party Logistics,Clothing,Low,135.07,0.79,Delivered,91.31,110.12,18.81,4,No,N/A
ORD-100025,SHP-500025,CUST-1413,4/22/2022,4/28/2022,4/26/2022,North America,Oceania,2611,Air,Internal Fleet,Machinery,Low,932.73,5.15,Delivered,648.43,819.91,171.48,5,No,Yes
ORD-100026,SHP-500026,CUST-1805,10/3/2023,12/22/2023,12/21/2023,South America,South America,15908,Sea,Internal Fleet,Perishables,High,487.85,1.69,Delivered,401.06,577.01,175.95,5,Yes,N/A
ORD-100027,SHP-500027,CUST-1385,2/22/2023,3/22/2023,3/21/2023,Africa,North America,5586,Sea,3rd Party Logistics,Pharmaceuticals,High,964.17,4.09,Delivered,701.63,969.49,267.86,4,Yes,Yes
ORD-100028,SHP-500028,CUST-1191,7/31/2023,9/10/2023,9/15/2023,South America,Oceania,8080,Sea,3rd Party Logistics,Perishables,High,395.36,1.48,Delayed,307.8,378.25,70.45,3,Yes,Yes
ORD-100029,SHP-500029,CUST-1955,1/26/2022,1/28/2022,1/31/2022,Oceania,Oceania,543,Road,Internal Fleet,Perishables,High,876.7,3.16,Delayed,621.51,767.13,145.62,2,No,N/A
ORD-100030,SHP-500030,CUST-1276,6/14/2023,6/17/2023,6/16/2023,Asia,North America,1758,Air,3rd Party Logistics,Pharmaceuticals,High,643.62,6.41,Delivered,615.92,755.27,139.35,5,No,Yes
ORD-100031,SHP-500031,CUST-1160,10/8/2023,10/11/2023,10/9/2023,Oceania,Oceania,1733,Road,3rd Party Logistics,Electronics,High,10.02,0.07,Delivered,41.22,51.47,10.25,4,No,N/A
ORD-100032,SHP-500032,CUST-1459,12/16/2023,3/21/2024,3/21/2024,Oceania,South America,19016,Sea,3rd Party Logistics,Pharmaceuticals,Critical,64.99,0.52,Delivered,123.22,176.02,52.8,5,No,Yes
ORD-100033,SHP-500033,CUST-1313,7/6/2023,7/18/2023,7/16/2023,Asia,Asia,3884,Rail,Internal Fleet,Electronics,Low,49.21,0.94,Delivered,65.1,83.33,18.23,5,Yes,N/A
ORD-100034,SHP-500034,CUST-1021,1/30/2022,2/3/2022,2/3/2022,North America,North America,379,Road,3rd Party Logistics,Furniture,Medium,455.32,12.23,Delivered,355.65,447.86,92.21,4,No,N/A
ORD-100035,SHP-500035,CUST-1252,8/13/2023,9/20/2023,9/22/2023,Oceania,Asia,7446,Sea,3rd Party Logistics,Electronics,High,3.82,0.03,Delayed,31.86,38.93,7.07,2,Yes,Yes
ORD-100036,SHP-500036,CUST-1747,10/14/2022,10/18/2022,10/18/2022,Africa,Africa,59,Road,Internal Fleet,Clothing,Low,318.28,1.18,Delivered,171.85,243.64,71.79,5,No,N/A
ORD-100037,SHP-500037,CUST-1856,3/18/2023,3/24/2023,3/24/2023,Asia,Asia,2224,Road,Internal Fleet,Clothing,Low,458.94,2.13,Delivered,284.1,408.31,124.21,4,No,N/A
ORD-100038,SHP-500038,CUST-1560,3/15/2023,3/19/2023,3/17/2023,Asia,Asia,1284,Rail,Internal Fleet,Pharmaceuticals,High,248.68,1.42,Delivered,193.39,241.17,47.78,4,No,N/A
ORD-100039,SHP-500039,CUST-1474,6/13/2022,6/29/2022,7/4/2022,South America,Asia,2668,Sea,3rd Party Logistics,Clothing,Medium,265.07,0.92,Delayed,149.75,199.92,50.17,2,Yes,Yes
ORD-100040,SHP-500040,CUST-1058,12/1/2022,12/10/2022,12/10/2022,Europe,Europe,2578,Rail,3rd Party Logistics,Clothing,Low,70.34,0.59,Delivered,61.72,88.72,27,4,No,N/A
ORD-100041,SHP-500041,CUST-1510,2/18/2023,2/24/2023,2/24/2023,Oceania,Oceania,1338,Rail,3rd Party Logistics,Furniture,Low,448.69,9.19,Delivered,326.99,425.04,98.05,4,No,N/A
ORD-100042,SHP-500042,CUST-1681,7/14/2023,7/24/2023,7/24/2023,Africa,Africa,2834,Rail,Internal Fleet,Clothing,Medium,604.08,2.84,Delivered,353.08,455.68,102.6,5,No,N/A
ORD-100043,SHP-500043,CUST-1475,8/13/2023,8/17/2023,,North America,North America,491,Road,Internal Fleet,Machinery,Medium,819.17,7.78,Cancelled,494.73,647.26,152.53,2,No,N/A
ORD-100044,SHP-500044,CUST-1699,9/15/2023,9/20/2023,9/19/2023,Oceania,Oceania,1631,Road,Internal Fleet,Machinery,Low,4720.28,26.01,Delivered,2644.75,3067.78,423.03,4,No,N/A
ORD-100045,SHP-500045,CUST-1975,12/9/2022,12/13/2022,12/12/2022,North America,North America,323,Road,Internal Fleet,Machinery,Medium,2211.41,7.26,Delivered,1183.14,1467.14,284,5,Yes,N/A
ORD-100046,SHP-500046,CUST-1782,10/10/2022,10/14/2022,10/14/2022,South America,South America,667,Road,3rd Party Logistics,Electronics,Medium,24.39,0.2,Delivered,24.18,32.88,8.7,4,Yes,N/A
ORD-100047,SHP-500047,CUST-1189,12/30/2022,1/1/2023,12/31/2022,Oceania,Oceania,1076,Road,Internal Fleet,Pharmaceuticals,High,463.66,1.76,Delivered,345.18,497.07,151.89,5,Yes,N/A
ORD-100048,SHP-500048,CUST-1957,9/11/2022,9/16/2022,9/16/2022,North America,North America,2423,Road,3rd Party Logistics,Pharmaceuticals,High,285.76,2.83,Delivered,269.79,356.29,86.5,5,No,N/A
ORD-100049,SHP-500049,CUST-1686,3/23/2023,3/25/2023,3/25/2023,Oceania,Oceania,302,Road,3rd Party Logistics,Perishables,High,833.37,6.33,Delivered,629.92,760.4,130.48,5,Yes,N/A
ORD-100050,SHP-500050,CUST-1957,9/30/2023,10/3/2023,10/3/2023,Asia,Asia,1607,Road,3rd Party Logistics,Furniture,High,217.7,3.22,Delivered,214.69,274.38,59.69,4,Yes,N/A
ORD-100051,SHP-500051,CUST-1562,2/2/2023,2/6/2023,2/4/2023,Oceania,Oceania,497,Road,Internal Fleet,Machinery,Medium,3360.09,14.45,Delivered,1832.01,2376.13,544.12,5,No,N/A
ORD-100052,SHP-500052,CUST-1875,6/20/2022,6/26/2022,6/25/2022,Africa,North America,4368,Air,Internal Fleet,Machinery,High,1624.51,4.93,Delivered,1403.99,1678.71,274.72,4,No,Yes
ORD-100053,SHP-500053,CUST-1566,7/22/2022,7/29/2022,,Oceania,Oceania,2470,Road,3rd Party Logistics,Clothing,Low,188.63,0.67,Cancelled,138.05,172.39,34.34,2,No,N/A
ORD-100054,SHP-500054,CUST-1243,5/1/2023,5/5/2023,5/3/2023,North America,North America,518,Road,3rd Party Logistics,Machinery,Low,1176.42,3.45,Delivered,630.43,809.17,178.74,4,No,N/A
ORD-100055,SHP-500055,CUST-1831,10/3/2023,10/8/2023,10/10/2023,Africa,Africa,1209,Road,Internal Fleet,Clothing,Low,430.01,4.46,Delayed,277.7,341.17,63.47,2,Yes,N/A
ORD-100056,SHP-500056,CUST-1504,10/7/2022,10/11/2022,10/9/2022,North America,North America,119,Road,3rd Party Logistics,Clothing,Low,408.36,3.87,Delivered,244.71,307.4,62.69,5,No,N/A
ORD-100057,SHP-500057,CUST-1130,2/8/2023,4/23/2023,4/25/2023,Europe,Asia,14768,Sea,Internal Fleet,Perishables,Critical,144.63,1.32,Delayed,168.73,208.02,39.29,2,No,Yes
ORD-100058,SHP-500058,CUST-1484,4/1/2023,4/11/2023,4/13/2023,Europe,Europe,2877,Rail,Internal Fleet,Electronics,Low,86.87,1.43,Delayed,80.79,107.76,26.97,3,No,N/A
ORD-100059,SHP-500059,CUST-1818,1/8/2022,2/12/2022,2/10/2022,Africa,Oceania,6585,Sea,3rd Party Logistics,Clothing,Low,972.81,18.98,Delivered,695.98,921.19,225.21,5,Yes,Yes
ORD-100060,SHP-500060,CUST-1646,1/17/2023,1/21/2023,1/20/2023,Europe,Europe,552,Road,Internal Fleet,Clothing,Low,661.66,2.51,Delivered,364.16,479.06,114.9,5,No,N/A
ORD-100061,SHP-500061,CUST-1020,1/18/2022,1/21/2022,,Europe,Europe,1771,Road,3rd Party Logistics,Pharmaceuticals,High,934.62,10.87,Cancelled,783.32,923.55,140.23,1,No,N/A
ORD-100062,SHP-500062,CUST-1840,5/17/2023,5/19/2023,5/19/2023,Asia,Asia,166,Road,Internal Fleet,Perishables,High,701.23,9.13,Delivered,577.67,696.13,118.46,4,Yes,N/A
ORD-100063,SHP-500063,CUST-1166,5/2/2022,8/1/2022,8/1/2022,North America,Asia,17616,Sea,3rd Party Logistics,Clothing,Low,359.09,1.54,Delivered,247.8,293.21,45.41,4,No,Yes
ORD-100064,SHP-500064,CUST-1273,5/9/2023,5/15/2023,5/14/2023,Europe,Europe,1863,Road,Internal Fleet,Furniture,Medium,186.07,4.8,Delivered,168.93,197.48,28.55,4,Yes,N/A
ORD-100065,SHP-500065,CUST-1387,5/6/2022,8/1/2022,7/31/2022,Africa,Asia,16942,Sea,3rd Party Logistics,Electronics,Low,12.49,0.22,Delivered,59.28,72.56,13.28,4,Yes,Yes
ORD-100066,SHP-500066,CUST-1600,8/18/2023,9/7/2023,9/7/2023,Asia,Oceania,14206,Air,3rd Party Logistics,Furniture,Medium,75.33,1.04,Delivered,758.35,916.36,158.01,5,Yes,Yes
ORD-100067,SHP-500067,CUST-1315,2/1/2023,5/11/2023,5/10/2023,Europe,Europe,19287,Sea,3rd Party Logistics,Machinery,Medium,550.39,1.79,Delivered,350.94,479.91,128.97,5,No,N/A
ORD-100068,SHP-500068,CUST-1013,5/4/2023,5/24/2023,5/22/2023,Oceania,Europe,13715,Air,3rd Party Logistics,Electronics,Medium,77.09,0.72,Delivered,731.52,993.96,262.44,5,No,Yes
ORD-100069,SHP-500069,CUST-1241,3/8/2023,3/19/2023,3/25/2023,Africa,Africa,3486,Rail,Internal Fleet,Machinery,Low,3788.49,12.81,Delayed,2050.26,2481.64,431.38,2,Yes,N/A
ORD-100070,SHP-500070,CUST-1776,7/7/2022,7/9/2022,7/7/2022,North America,North America,793,Rail,Internal Fleet,Pharmaceuticals,Critical,461,3.16,Delivered,349.04,418.73,69.69,5,Yes,N/A
ORD-100071,SHP-500071,CUST-1345,6/3/2022,7/5/2022,7/3/2022,Oceania,Europe,5858,Sea,3rd Party Logistics,Clothing,Medium,941.92,3.21,Delivered,520.68,621.42,100.74,5,Yes,Yes
ORD-100072,SHP-500072,CUST-1564,5/4/2022,5/8/2022,5/8/2022,Europe,Europe,1900,Road,Internal Fleet,Perishables,High,654.76,6.59,Delivered,548.34,683.24,134.9,5,No,N/A
ORD-100073,SHP-500073,CUST-1897,11/5/2022,12/6/2022,12/5/2022,Africa,North America,5730,Sea,3rd Party Logistics,Furniture,Low,234.99,4.72,Delivered,181.88,225.21,43.33,4,Yes,Yes
ORD-100074,SHP-500074,CUST-1339,8/30/2023,9/3/2023,9/2/2023,Oceania,Oceania,1095,Road,Internal Fleet,Machinery,Low,3910.87,13.02,Delivered,2102.08,2435.39,333.31,4,No,N/A
ORD-100075,SHP-500075,CUST-1091,5/2/2022,5/6/2022,5/4/2022,Africa,Africa,644,Road,Internal Fleet,Clothing,Medium,519.67,2.36,Delivered,293.1,387,93.9,4,No,N/A
ORD-100076,SHP-500076,CUST-1366,3/12/2022,3/19/2022,3/17/2022,South America,South America,1647,Rail,Internal Fleet,Furniture,Medium,31.55,0.47,Delivered,33.69,47.82,14.13,4,No,N/A
ORD-100077,SHP-500077,CUST-1955,4/14/2022,4/19/2022,4/19/2022,Oceania,Oceania,1590,Road,3rd Party Logistics,Furniture,Low,121.58,2.05,Delivered,105.12,137.88,32.76,4,No,N/A
ORD-100078,SHP-500078,CUST-1454,10/28/2023,11/1/2023,10/30/2023,Africa,Africa,2358,Road,3rd Party Logistics,Pharmaceuticals,High,122.83,1.56,Delivered,146.13,170.85,24.72,4,Yes,N/A
ORD-100079,SHP-500079,CUST-1427,1/6/2023,2/26/2023,2/25/2023,Oceania,South America,10088,Sea,3rd Party Logistics,Pharmaceuticals,Critical,45.3,0.16,Delivered,70.91,94.3,23.39,4,No,Yes
ORD-100080,SHP-500080,CUST-1508,11/4/2023,11/13/2023,11/11/2023,South America,South America,2476,Rail,3rd Party Logistics,Machinery,Medium,3220.51,15.44,Delivered,1784.46,2311.74,527.28,4,Yes,N/A
ORD-100081,SHP-500081,CUST-1775,6/10/2022,6/15/2022,6/14/2022,North America,North America,1625,Air,Internal Fleet,Clothing,Medium,789.9,3.82,Delivered,514.45,731.59,217.14,5,Yes,N/A
ORD-100082,SHP-500082,CUST-1942,11/23/2023,11/25/2023,11/25/2023,North America,North America,333,Road,Internal Fleet,Perishables,High,623.88,3.63,Delivered,459.23,578.15,118.92,5,No,N/A
ORD-100083,SHP-500083,CUST-1034,11/11/2023,11/17/2023,11/17/2023,Asia,Asia,1926,Road,Internal Fleet,Machinery,Medium,535.67,3.02,Delivered,326.9,449.68,122.78,4,No,N/A
ORD-100084,SHP-500084,CUST-1205,1/23/2023,1/28/2023,1/27/2023,Oceania,Oceania,1261,Road,3rd Party Logistics,Furniture,Medium,72.36,1.21,Delivered,67.2,78.05,10.85,5,No,N/A
ORD-100085,SHP-500085,CUST-1080,2/16/2023,2/27/2023,2/25/2023,South America,Africa,7162,Air,3rd Party Logistics,Furniture,Low,139.34,2.96,Delivered,457.41,625.03,167.62,5,Yes,Yes
ORD-100086,SHP-500086,CUST-1931,2/23/2022,3/5/2022,3/3/2022,Africa,Africa,2946,Rail,Internal Fleet,Electronics,Low,35.99,0.56,Delivered,47.16,54.82,7.66,5,No,N/A
ORD-100087,SHP-500087,CUST-1561,3/28/2023,5/13/2023,5/15/2023,Asia,South America,8797,Sea,3rd Party Logistics,Clothing,Medium,958.79,3.38,Delayed,539.62,676.37,136.75,3,No,Yes
ORD-100088,SHP-500088,CUST-1871,7/15/2023,7/19/2023,7/17/2023,Oceania,Oceania,812,Road,3rd Party Logistics,Electronics,Low,9.38,0.07,Delivered,17.57,25.2,7.63,5,No,N/A
