OrderID,ShipmentID,CustomerID,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,OriginRegion,DestinationRegion,Distance_km,ShippingMode,CarrierType,ProductCategory,Priority,Weight_kg,Volume_m3,ShipmentStatus,ShippingCost_USD,Revenue_USD,Profit_USD,CustomerRating,InsuranceRequired,CustomsCleared
  ORD-100000 ,  SHP-500000 ,  CUST-1102 ,  2022-05-03 ,  2022-08-01 ,  2022-07-30 ,  Africaa ,  Africaa ,17510.0,  Seaa ,  Internaal Fleet ,  Maachinery ,  Medium ,3484.66,14.86,  Delivered ,1943.45,2265.95,322.5,4,  No ,  naan 
  ORD-100001 ,  SHP-500001 ,  CUST-1435 ,  2023-07-22 ,  2023-07-25 ,  2023-07-23 ,  Europe ,  Europe ,1341.0,  Roaad ,  Internaal Fleet ,  Perishaables ,  High ,190.78,3.67,  Delivered ,197.92,267.44,69.52,5,  No ,  naan 
  ORD-100002 ,  SHP-500002 ,  CUST-1860 ,  2023-08-21 ,  2023-08-26 ,  naan ,  South Americaa ,  South Americaa ,1138.0,  Raail ,  3rd Paarty Logistics ,  Electronics ,  Low ,31.88,0.57,  Caancelled ,30.79,41.75,10.96,1,  No ,  naan 
  ORD-100003 ,  SHP-500003 ,  CUST-1270 ,  2023-04-10 ,  2023-04-12 ,  2023-04-16 ,  South Americaa ,  South Americaa ,401.0,  Roaad ,  Internaal Fleet ,  Perishaables ,  High ,487.46,1.91,  Delaayed ,349.48,474.31,124.83,2,  No ,  naan 
  ORD-100004 ,  SHP-500004 ,  CUST-1106 ,  2022-03-19 ,  2022-03-22 ,  2022-03-21 ,  North Americaa ,  North Americaa ,1351.0,  Roaad ,  Internaal Fleet ,  Perishaables ,  High ,292.54,1.12,  Delivered ,231.02,272.0,40.98,5,  No ,  naan 
  ORD-100005 ,  SHP-500005 ,  CUST-1071 ,  2023-08-27 ,  2023-09-15 ,  2023-09-14 ,  Africaa ,  Asiaa ,12831.0,  Air ,  3rd Paarty Logistics ,  Maachinery ,  Low ,3670.54,26.68,  Delivered ,2743.62,3402.46,658.84,4,  Yes ,  Yes 
  ORD-100006 ,  SHP-500006 ,  CUST-1700 ,  2022-11-29 ,  2022-12-03 ,  2022-12-04 ,  Asiaa ,  Asiaa ,2027.0,  Roaad ,  3rd Paarty Logistics ,  Phaarmaaceuticaals ,  Criticaal ,648.12,7.37,  Delaayed ,556.63,702.12,145.49,3,  No ,  naan 
  ORD-100007 ,  SHP-500007 ,  CUST-1020 ,  2022-09-05 ,  2022-09-09 ,  2022-09-07 ,  Europe ,  Asiaa ,1455.0,  Air ,  3rd Paarty Logistics ,  Electronics ,  Low ,65.82,1.02,  Delivered ,115.9,162.02,46.12,4,  Yes ,  Yes 
  ORD-100008 ,  SHP-500008 ,  CUST-1614 ,  2023-09-06 ,  2023-09-12 ,  2023-09-11 ,  North Americaa ,  North Americaa ,1807.0,  Roaad ,  3rd Paarty Logistics ,  Furniture ,  Low ,208.41,3.86,  Delivered ,169.9,245.37,75.47,5,  No ,  naan 
  ORD-100009 ,  SHP-500009 ,  CUST-1121 ,  2022-12-03 ,  2022-12-14 ,  2022-12-14 ,  Europe ,  Europe ,3550.0,  Raail ,  3rd Paarty Logistics ,  Furniture ,  Low ,44.18,1.51,  Delivered ,65.62,83.63,18.01,5,  Yes ,  naan 
  ORD-100010 ,  SHP-500010 ,  CUST-1466 ,  2022-03-14 ,  2022-03-17 ,  2022-03-17 ,  Asiaa ,  Asiaa ,1207.0,  Roaad ,  Internaal Fleet ,  Phaarmaaceuticaals ,  Criticaal ,327.2,1.98,  Delivered ,261.91,344.75,82.84,4,  Yes ,  naan 
  ORD-100011 ,  SHP-500011 ,  CUST-1214 ,  2023-06-10 ,  2023-06-14 ,  2023-06-14 ,  North Americaa ,  South Americaa ,1257.0,  Air ,  3rd Paarty Logistics ,  Furniture ,  Low ,432.07,13.83,  Delivered ,417.21,480.71,63.5,4,  No ,  Yes 
  ORD-100012 ,  SHP-500012 ,  CUST-1330 ,  2023-12-07 ,  2024-03-11 ,  2024-03-11 ,  Europe ,  Africaa ,18865.0,  Seaa ,  3rd Paarty Logistics ,  Electronics ,  High ,35.4,0.36,  Delivered ,101.3,116.76,15.46,4,  No ,  Yes 
